,1000/T (K⁻¹),ln(T²/en),Ea (eV),dEa (eV),sigma (cm2),dsigma (cm2),Date saved,Date measured,Sample name,Number of gates,Integral,Scan number,X-ray dose (Gy),Bias (V),Excitation wavelength (nm),Light source current (mA),T min (K),T max (K),Heating rate (K/min)
"Scan -5V,Trap 1(4G)",3.575898444484177,8.937947994319035,0.6516673051676638,0.021807559985241916,8.743091782773404e-14,8.014770172660839e-14,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan -5V,Trap 1(4G)",3.595311713525563,9.052269678861006,0.6516673051676638,0.021807559985241916,8.743091782773404e-14,8.014770172660839e-14,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan -5V,Trap 1(4G)",3.6084148233680944,9.156245534341135,0.6516673051676638,0.021807559985241916,8.743091782773404e-14,8.014770172660839e-14,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan -5V,Trap 1(4G)",3.621351488375462,9.249158555381067,0.6516673051676638,0.021807559985241916,8.743091782773404e-14,8.014770172660839e-14,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan -5V,Trap 1(4G)",3.627788862688192,9.336604225143471,0.6516673051676638,0.021807559985241916,8.743091782773404e-14,8.014770172660839e-14,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan -5V,Trap 1(4G)",3.640997633351539,9.412756017544824,0.6516673051676638,0.021807559985241916,8.743091782773404e-14,8.014770172660839e-14,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan -5V,Trap 1(4G)",3.6475051065071487,9.486080771818669,0.6516673051676638,0.021807559985241916,8.743091782773404e-14,8.014770172660839e-14,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan -5V,Trap 1(4G)",3.6608581051398446,9.550335266745515,0.6516673051676638,0.021807559985241916,8.743091782773404e-14,8.014770172660839e-14,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan5 -5V, Trap2(4G)",3.3062223103881507,9.094768426429031,0.3959030713585579,0.014096551101170814,5.26752292722907e-19,2.909859011177726e-19,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan5 -5V, Trap2(4G)",3.32800851970181,9.206782902799873,0.3959030713585579,0.014096551101170814,5.26752292722907e-19,2.909859011177726e-19,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan5 -5V, Trap2(4G)",3.355817309305681,9.30139197178518,0.3959030713585579,0.014096551101170814,5.26752292722907e-19,2.909859011177726e-19,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan5 -5V, Trap2(4G)",3.372681281618887,9.391437025280615,0.3959030713585579,0.014096551101170814,5.26752292722907e-19,2.909859011177726e-19,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan5 -5V, Trap2(4G)",3.3954704424297986,9.468966251817166,0.3959030713585579,0.014096551101170814,5.26752292722907e-19,2.909859011177726e-19,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan5 -5V, Trap2(4G)",3.407038942455112,9.545584318443536,0.3959030713585579,0.014096551101170814,5.26752292722907e-19,2.909859011177726e-19,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan5 -5V, Trap2(4G)",3.4183359540575644,9.615859835603846,0.3959030713585579,0.014096551101170814,5.26752292722907e-19,2.909859011177726e-19,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"Scan5 -5V, Trap2(4G)",3.4300610550867803,9.680574293851471,0.3959030713585579,0.014096551101170814,5.26752292722907e-19,2.909859011177726e-19,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"scan5 -5V, Trap3(4G)",2.9783178460805337,9.303663589834512,0.5660529478217027,0.012801931704878951,3.40987276504835e-17,1.5347752975264987e-17,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"scan5 -5V, Trap3(4G)",2.9960751415645506,9.416924776785388,0.5660529478217027,0.012801931704878951,3.40987276504835e-17,1.5347752975264987e-17,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"scan5 -5V, Trap3(4G)",3.0140454518054134,9.516216311322689,0.5660529478217027,0.012801931704878951,3.40987276504835e-17,1.5347752975264987e-17,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"scan5 -5V, Trap3(4G)",3.027550711474417,9.607345253198543,0.5660529478217027,0.012801931704878951,3.40987276504835e-17,1.5347752975264987e-17,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"scan5 -5V, Trap3(4G)",3.0412700343663515,9.689300487761775,0.5660529478217027,0.012801931704878951,3.40987276504835e-17,1.5347752975264987e-17,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"scan5 -5V, Trap3(4G)",3.050454517723141,9.766690252489994,0.5660529478217027,0.012801931704878951,3.40987276504835e-17,1.5347752975264987e-17,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"scan5 -5V, Trap3(4G)",3.0597882626522246,9.837476137933237,0.5660529478217027,0.012801931704878951,3.40987276504835e-17,1.5347752975264987e-17,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
"scan5 -5V, Trap3(4G)",3.069179301454791,9.902910021835785,0.5660529478217027,0.012801931704878951,3.40987276504835e-17,1.5347752975264987e-17,2021-11-04-19-32-45,20/10/2021,1512,4,True,5,0,-5,,,,,3
